_id,date,center_name,attendance_count
40754233,2023-07-11,Ammon Community Center,49
40754234,2023-07-11,Brookline Community Center,48
40754235,2023-07-11,Jefferson Community Center,24
40754236,2023-07-11,Magee Community Center,20
40754237,2023-07-11,Paulson Community Center,12
40754238,2023-07-11,Ormsby Community Center,8
40754239,2023-07-11,Phillips Community Center,45
40754240,2023-07-10,West Penn Community Center,51
40754241,2023-07-10,Warrington Community Center,102
40754242,2023-07-10,Ammon Community Center,18
40754243,2023-07-10,Arlington Community Center,7
40754244,2023-07-10,Brookline Community Center,43
40754245,2023-07-10,Magee Community Center,30
40754246,2023-07-10,Jefferson Community Center,27
40754247,2023-07-10,Ormsby Community Center,13
40754248,2023-07-10,Paulson Community Center,9
40754249,2023-07-10,Phillips Community Center,25
40754250,2023-07-08,Paulson Community Center,9
40754251,2023-07-08,Ormsby Community Center,8
40754252,2023-07-08,Phillips Community Center,3
40754253,2023-07-07,Warrington Community Center,44
40754254,2023-07-07,West Penn Community Center,96
40754255,2023-07-07,Arlington Community Center,4
40754256,2023-07-07,Ammon Community Center,13
40754257,2023-07-07,Brookline Community Center,40
40754258,2023-07-07,Magee Community Center,7
40754259,2023-07-07,Ormsby Community Center,7
40754260,2023-07-07,Paulson Community Center,6
40754261,2023-07-07,Phillips Community Center,16
40754262,2023-07-06,West Penn Community Center,96
40754263,2023-07-06,Warrington Community Center,54
40754264,2023-07-06,Ammon Community Center,74
40754265,2023-07-06,Arlington Community Center,21
40754266,2023-07-06,Brookline Community Center,41
40754267,2023-07-06,Magee Community Center,5
40754268,2023-07-06,Jefferson Community Center,17
40754269,2023-07-06,Ormsby Community Center,7
40754270,2023-07-06,Phillips Community Center,23
40754271,2023-07-05,Warrington Community Center,15
40754272,2023-07-05,West Penn Community Center,32
40754273,2023-07-05,Arlington Community Center,15
40754274,2023-07-05,Ammon Community Center,47
40754275,2023-07-05,Brookline Community Center,35
40754276,2023-07-05,Magee Community Center,10
40754277,2023-07-05,Ormsby Community Center,4
40754278,2023-07-05,Paulson Community Center,5
40754279,2023-07-05,Phillips Community Center,20
40754280,2023-07-03,West Penn Community Center,33
40754281,2023-07-03,Warrington Community Center,66
40754282,2023-07-03,Ammon Community Center,18
40754283,2023-07-03,Brookline Community Center,49
40754284,2023-07-03,Magee Community Center,29
40754285,2023-07-03,Jefferson Community Center,17
40754286,2023-07-03,Paulson Community Center,6
40754287,2023-07-03,Ormsby Community Center,9
40754288,2023-07-03,Phillips Community Center,29
40754289,2023-07-01,West Penn Community Center,19
40754290,2023-07-01,Ormsby Community Center,3
40754291,2023-07-01,Paulson Community Center,8
40754292,2023-07-01,Phillips Community Center,3
40754293,2023-06-30,West Penn Community Center,41
40754294,2023-06-30,Warrington Community Center,114
40754295,2023-06-30,Ammon Community Center,29
40754296,2023-06-30,Arlington Community Center,11
40754297,2023-06-30,Brookline Community Center,43
40754298,2023-06-30,Magee Community Center,7
40754299,2023-06-30,Paulson Community Center,6
40754300,2023-06-30,Ormsby Community Center,5
40754301,2023-06-30,Phillips Community Center,22
40754302,2023-06-29,Warrington Community Center,115
40754303,2023-06-29,West Penn Community Center,88
40754304,2023-06-29,Arlington Community Center,15
40754305,2023-06-29,Ammon Community Center,20
40754306,2023-06-29,Brookline Community Center,40
40754307,2023-06-29,Magee Community Center,10
40754308,2023-06-29,Jefferson Community Center,22
40754309,2023-06-29,Ormsby Community Center,14
40754310,2023-06-29,Paulson Community Center,7
40754311,2023-06-29,Phillips Community Center,46
40754312,2023-06-28,West Penn Community Center,49
40754313,2023-06-28,Warrington Community Center,103
40754314,2023-06-28,Ammon Community Center,33
40754315,2023-06-28,Brookline Community Center,30
40754316,2023-06-28,Jefferson Community Center,21
40754317,2023-06-28,Magee Community Center,10
40754318,2023-06-28,Paulson Community Center,8
40754319,2023-06-28,Ormsby Community Center,10
40754320,2023-06-28,Phillips Community Center,2
40754321,2023-06-27,Warrington Community Center,18
40754322,2023-06-27,West Penn Community Center,217
40754323,2023-06-27,Ammon Community Center,20
40754324,2023-06-27,Arlington Community Center,9
40754325,2023-06-27,Brookline Community Center,50
40754326,2023-06-27,Magee Community Center,9
40754327,2023-06-27,Jefferson Community Center,28
40754328,2023-06-27,Ormsby Community Center,7
40754329,2023-06-27,Paulson Community Center,7
40754330,2023-06-27,Phillips Community Center,32
40754331,2023-06-26,West Penn Community Center,28
40754332,2023-06-26,Warrington Community Center,111
40754333,2023-06-26,Arlington Community Center,4
40754334,2023-06-26,Ammon Community Center,36
40754335,2023-06-26,Brookline Community Center,30
40754336,2023-06-26,Jefferson Community Center,28
40754337,2023-06-26,Magee Community Center,16
40754338,2023-06-26,Paulson Community Center,8
40754339,2023-06-26,Ormsby Community Center,10
40754340,2023-06-26,Phillips Community Center,17
40754341,2023-06-24,West Penn Community Center,9
40754342,2023-06-24,Ammon Community Center,2
40754343,2023-06-24,Ormsby Community Center,11
40754344,2023-06-24,Paulson Community Center,11
40754345,2023-06-24,Phillips Community Center,7
40754346,2023-06-23,West Penn Community Center,46
40754347,2023-06-23,Warrington Community Center,12
40754348,2023-06-23,Ammon Community Center,26
40754349,2023-06-23,Arlington Community Center,9
40754350,2023-06-23,Brookline Community Center,47
40754351,2023-06-23,Magee Community Center,18
40754352,2023-06-23,Jefferson Community Center,32
40754353,2023-06-23,Paulson Community Center,7
40754354,2023-06-23,Ormsby Community Center,5
40754355,2023-06-23,Phillips Community Center,37
40754356,2023-06-22,Warrington Community Center,7
40754357,2023-06-22,West Penn Community Center,132
40754358,2023-06-22,Arlington Community Center,3
40754359,2023-06-22,Ammon Community Center,25
40754360,2023-06-22,Brookline Community Center,48
40754361,2023-06-22,Magee Community Center,14
40754362,2023-06-22,Ormsby Community Center,10
40754363,2023-06-22,Paulson Community Center,1
40754364,2023-06-22,Phillips Community Center,42
40754365,2023-06-21,West Penn Community Center,35
40754366,2023-06-21,Warrington Community Center,15
40754367,2023-06-21,Ammon Community Center,99
40754368,2023-06-21,Arlington Community Center,2
40754369,2023-06-21,Brookline Community Center,36
40754370,2023-06-21,Magee Community Center,11
40754371,2023-06-21,Jefferson Community Center,36
40754372,2023-06-21,Paulson Community Center,20
40754373,2023-06-21,Ormsby Community Center,3
40754374,2023-06-21,Phillips Community Center,33
40754375,2023-06-20,Warrington Community Center,12
40754376,2023-06-20,West Penn Community Center,97
40754377,2023-06-20,Ammon Community Center,45
40754378,2023-06-20,Brookline Community Center,59
40754379,2023-06-20,Magee Community Center,19
40754380,2023-06-20,Ormsby Community Center,15
40754381,2023-06-20,Paulson Community Center,40
40754382,2023-06-20,Phillips Community Center,86
40754383,2023-06-19,Magee Community Center,3
40754384,2023-06-18,Ammon Community Center,20
40754385,2023-06-17,West Penn Community Center,44
40754386,2023-06-17,Ammon Community Center,31
40754387,2023-06-17,Ormsby Community Center,4
40754388,2023-06-17,Phillips Community Center,1
40754389,2023-06-16,West Penn Community Center,22
40754390,2023-06-16,Warrington Community Center,22
40754391,2023-06-16,Ammon Community Center,25
40754392,2023-06-16,Brookline Community Center,26
40754393,2023-06-16,Magee Community Center,10
40754394,2023-06-16,Ormsby Community Center,11
40754395,2023-06-16,Paulson Community Center,13
40754396,2023-06-16,Phillips Community Center,15
40754397,2023-06-15,Warrington Community Center,35
40754398,2023-06-15,West Penn Community Center,118
40754399,2023-06-15,Ammon Community Center,49
40754400,2023-06-15,Arlington Community Center,10
40754401,2023-06-15,Brookline Community Center,34
40754402,2023-06-15,Magee Community Center,25
40754403,2023-06-15,Paulson Community Center,9
40754404,2023-06-15,Ormsby Community Center,4
40754405,2023-06-15,Phillips Community Center,31
40754406,2023-06-14,West Penn Community Center,36
40754407,2023-06-14,Warrington Community Center,48
40754408,2023-06-14,Arlington Community Center,15
40754409,2023-06-14,Ammon Community Center,103
40754410,2023-06-14,Brookline Community Center,23
40754411,2023-06-14,Ormsby Community Center,19
40754412,2023-06-14,Paulson Community Center,16
40754413,2023-06-14,Phillips Community Center,25
40754414,2023-06-13,Warrington Community Center,35
40754415,2023-06-13,West Penn Community Center,140
40754416,2023-06-13,Ammon Community Center,22
40754417,2023-06-13,Arlington Community Center,8
40754418,2023-06-13,Brookline Community Center,31
40754419,2023-06-13,Magee Community Center,1
40754420,2023-06-13,Paulson Community Center,15
40754421,2023-06-13,Ormsby Community Center,5
40754422,2023-06-13,Phillips Community Center,47
40754423,2023-06-12,West Penn Community Center,50
40754424,2023-06-12,Warrington Community Center,41
40754425,2023-06-12,Arlington Community Center,8
40754426,2023-06-12,Ammon Community Center,11
40754427,2023-06-12,Brookline Community Center,37
40754428,2023-06-12,Magee Community Center,18
40754429,2023-06-12,Ormsby Community Center,9
40754430,2023-06-12,Paulson Community Center,17
40754431,2023-06-12,Phillips Community Center,38
40754432,2023-06-11,West Penn Community Center,67
40754433,2023-06-10,West Penn Community Center,20
40754434,2023-06-10,Warrington Community Center,1
40754435,2023-06-10,Ammon Community Center,6
40754436,2023-06-10,Paulson Community Center,9
40754437,2023-06-10,Ormsby Community Center,2
40754438,2023-06-10,Phillips Community Center,23
40754439,2023-06-09,Warrington Community Center,48
40754440,2023-06-09,West Penn Community Center,26
40754441,2023-06-09,Ammon Community Center,25
40754442,2023-06-09,Arlington Community Center,5
40754443,2023-06-09,Brookline Community Center,27
40754444,2023-06-09,Magee Community Center,12
40754445,2023-06-09,Ormsby Community Center,9
40754446,2023-06-09,Paulson Community Center,14
40754447,2023-06-09,Phillips Community Center,12
40754448,2023-06-08,West Penn Community Center,115
40754449,2023-06-08,Warrington Community Center,41
40754450,2023-06-08,Arlington Community Center,10
40754451,2023-06-08,Ammon Community Center,122
40754452,2023-06-08,Brookline Community Center,31
40754453,2023-06-08,Magee Community Center,4
40754454,2023-06-08,Paulson Community Center,24
40754455,2023-06-08,Ormsby Community Center,17
40754456,2023-06-08,Phillips Community Center,30
40754457,2023-06-07,Warrington Community Center,42
40754458,2023-06-07,West Penn Community Center,29
40754459,2023-06-07,Ammon Community Center,208
40754460,2023-06-07,Arlington Community Center,3
40754461,2023-06-07,Brookline Community Center,26
40754462,2023-06-07,Magee Community Center,22
40754463,2023-06-07,Ormsby Community Center,11
40754464,2023-06-07,Paulson Community Center,12
40754465,2023-06-07,Phillips Community Center,3
40754466,2023-06-06,West Penn Community Center,132
40754467,2023-06-06,Warrington Community Center,56
40754468,2023-06-06,Arlington Community Center,12
40754469,2023-06-06,Ammon Community Center,34
40754470,2023-06-06,Brookline Community Center,26
40754471,2023-06-06,Magee Community Center,28
40754472,2023-06-06,Paulson Community Center,18
40754473,2023-06-06,Ormsby Community Center,13
40754474,2023-06-06,Phillips Community Center,56
40754475,2023-06-05,Warrington Community Center,30
40754476,2023-06-05,West Penn Community Center,24
40754477,2023-06-05,Ammon Community Center,8
40754478,2023-06-05,Arlington Community Center,4
40754479,2023-06-05,Brookline Community Center,29
40754480,2023-06-05,Magee Community Center,44
40754481,2023-06-05,Ormsby Community Center,10
40754482,2023-06-05,Paulson Community Center,25
40754483,2023-06-05,Phillips Community Center,19
40754484,2023-06-03,West Penn Community Center,23
40754485,2023-06-03,Paulson Community Center,15
40754486,2023-06-03,Ormsby Community Center,3
40754487,2023-06-03,Phillips Community Center,13
40754488,2023-06-02,West Penn Community Center,92
40754489,2023-06-02,Warrington Community Center,26
40754490,2023-06-02,Ammon Community Center,16
40754491,2023-06-02,Brookline Community Center,29
40754492,2023-06-02,Magee Community Center,8
40754493,2023-06-02,Ormsby Community Center,10
40754494,2023-06-02,Paulson Community Center,12
40754495,2023-06-02,Phillips Community Center,49
40754496,2023-06-01,Warrington Community Center,32
40754497,2023-06-01,West Penn Community Center,110
40754498,2023-06-01,Ammon Community Center,38
40754499,2023-06-01,Arlington Community Center,9
40754500,2023-06-01,Brookline Community Center,31
40754501,2023-06-01,Magee Community Center,22
40754502,2023-06-01,Paulson Community Center,21
40754503,2023-06-01,Ormsby Community Center,12
40754504,2023-06-01,Phillips Community Center,3
40754505,2023-05-31,West Penn Community Center,33
40754506,2023-05-31,Warrington Community Center,67
40754507,2023-05-31,Arlington Community Center,30
40754508,2023-05-31,Ammon Community Center,28
40754509,2023-05-31,Brookline Community Center,32
40754510,2023-05-31,Magee Community Center,29
40754511,2023-05-31,Ormsby Community Center,11
40754512,2023-05-31,Paulson Community Center,19
40754513,2023-05-31,Phillips Community Center,41
40754514,2023-05-30,Warrington Community Center,49
40754515,2023-05-30,West Penn Community Center,70
40754516,2023-05-30,Ammon Community Center,50
40754517,2023-05-30,Arlington Community Center,2
40754518,2023-05-30,Brookline Community Center,36
40754519,2023-05-30,Magee Community Center,11
40754520,2023-05-30,Paulson Community Center,21
40754521,2023-05-30,Ormsby Community Center,10
40754522,2023-05-30,Phillips Community Center,54
40754523,2023-05-26,West Penn Community Center,16
40754524,2023-05-26,Warrington Community Center,45
40754525,2023-05-26,Arlington Community Center,4
40754526,2023-05-26,Brookline Community Center,33
40754527,2023-05-26,Magee Community Center,17
40754528,2023-05-26,Ormsby Community Center,8
40754529,2023-05-26,Paulson Community Center,16
40754530,2023-05-26,Phillips Community Center,32
40754531,2023-05-25,Warrington Community Center,41
40754532,2023-05-25,West Penn Community Center,104
40754533,2023-05-25,Brookline Community Center,33
40754534,2023-05-25,Magee Community Center,7
40754535,2023-05-25,Paulson Community Center,19
40754536,2023-05-25,Ormsby Community Center,14
40754537,2023-05-25,Phillips Community Center,35
40754538,2023-05-24,West Penn Community Center,98
40754539,2023-05-24,Warrington Community Center,40
40754540,2023-05-24,Arlington Community Center,18
40754541,2023-05-24,Ammon Community Center,2
40754542,2023-05-24,Brookline Community Center,32
40754543,2023-05-24,Magee Community Center,10
40754544,2023-05-24,Jefferson Community Center,52
40754545,2023-05-24,Ormsby Community Center,16
40754546,2023-05-24,Paulson Community Center,17
40754547,2023-05-24,Phillips Community Center,47
40754548,2023-05-23,Warrington Community Center,22
40754549,2023-05-23,West Penn Community Center,113
40754550,2023-05-23,Ammon Community Center,13
40754551,2023-05-23,Arlington Community Center,20
40754552,2023-05-23,Brookline Community Center,32
40754553,2023-05-23,Jefferson Community Center,25
40754554,2023-05-23,Magee Community Center,10
40754555,2023-05-23,Paulson Community Center,11
40754556,2023-05-23,Ormsby Community Center,14
40754557,2023-05-23,Phillips Community Center,54
40754558,2023-05-22,West Penn Community Center,35
40754559,2023-05-22,Warrington Community Center,34
40754560,2023-05-22,Arlington Community Center,8
40754561,2023-05-22,Ammon Community Center,14
40754562,2023-05-22,Brookline Community Center,35
40754563,2023-05-22,Magee Community Center,26
40754564,2023-05-22,Jefferson Community Center,1
40754565,2023-05-22,Ormsby Community Center,17
40754566,2023-05-22,Paulson Community Center,24
40754567,2023-05-22,Phillips Community Center,34
40754568,2023-05-20,West Penn Community Center,13
40754569,2023-05-20,Paulson Community Center,4
40754570,2023-05-20,Ormsby Community Center,9
40754571,2023-05-20,Phillips Community Center,3
40754572,2023-05-19,West Penn Community Center,100
40754573,2023-05-19,Warrington Community Center,18
40754574,2023-05-19,Arlington Community Center,15
40754575,2023-05-19,Brookline Community Center,28
40754576,2023-05-19,Jefferson Community Center,1
40754577,2023-05-19,Magee Community Center,15
40754578,2023-05-19,Ormsby Community Center,8
40754579,2023-05-19,Paulson Community Center,16
40754580,2023-05-19,Phillips Community Center,23
40754581,2023-05-18,Warrington Community Center,28
40754582,2023-05-18,West Penn Community Center,31
40754583,2023-05-18,Arlington Community Center,15
40754584,2023-05-18,Brookline Community Center,30
40754585,2023-05-18,Magee Community Center,25
40754586,2023-05-18,Jefferson Community Center,51
40754587,2023-05-18,Paulson Community Center,24
40754588,2023-05-18,Ormsby Community Center,11
40754589,2023-05-18,Phillips Community Center,40
40754590,2023-05-17,West Penn Community Center,40
40754591,2023-05-17,Warrington Community Center,42
40754592,2023-05-17,Arlington Community Center,17
40754593,2023-05-17,Brookline Community Center,38
40754594,2023-05-17,Magee Community Center,26
40754595,2023-05-17,Ormsby Community Center,5
40754596,2023-05-17,Paulson Community Center,16
40754597,2023-05-17,Phillips Community Center,39
40754598,2023-05-16,Arlington Community Center,2
40754599,2023-05-16,Magee Community Center,12
40754600,2023-05-16,Jefferson Community Center,44
40754601,2023-05-16,Jefferson Recreation Center,2
40754602,2023-05-16,Ormsby Community Center,5
40754603,2023-05-15,Warrington Community Center,51
40754604,2023-05-15,West Penn Community Center,34
40754605,2023-05-15,Arlington Community Center,8
40754606,2023-05-15,Brookline Community Center,36
40754607,2023-05-15,Jefferson Recreation Center,2
40754608,2023-05-15,Magee Community Center,19
40754609,2023-05-15,Ormsby Community Center,10
40754610,2023-05-15,Paulson Community Center,10
40754611,2023-05-15,Phillips Community Center,72
40754612,2023-05-13,West Penn Community Center,80
40754613,2023-05-13,Arlington Community Center,27
40754614,2023-05-13,Paulson Community Center,11
40754615,2023-05-13,Ormsby Community Center,12
40754616,2023-05-12,West Penn Community Center,39
40754617,2023-05-12,Warrington Community Center,49
40754618,2023-05-12,Arlington Community Center,10
40754619,2023-05-12,Brookline Community Center,35
40754620,2023-05-12,Magee Community Center,15
40754621,2023-05-12,Jefferson Recreation Center,1
40754622,2023-05-12,Ormsby Community Center,10
40754623,2023-05-12,Paulson Community Center,21
40754624,2023-05-12,Phillips Community Center,25
40754625,2023-05-11,Warrington Community Center,47
40754626,2023-05-11,West Penn Community Center,21
40754627,2023-05-11,Arlington Community Center,37
40754628,2023-05-11,Ammon Community Center,2
40754629,2023-05-11,Brookline Community Center,30
40754630,2023-05-11,Jefferson Recreation Center,20
40754631,2023-05-11,Magee Community Center,10
40754632,2023-05-11,Paulson Community Center,22
40754633,2023-05-11,Ormsby Community Center,6
40754634,2023-05-11,Phillips Community Center,73
40754635,2023-05-10,West Penn Community Center,42
40754636,2023-05-10,Warrington Community Center,24
40754637,2023-05-10,Ammon Community Center,32
40754638,2023-05-10,Arlington Community Center,23
40754639,2023-05-10,Brookline Community Center,40
40754640,2023-05-10,Magee Community Center,11
40754641,2023-05-10,Ormsby Community Center,15
40754642,2023-05-10,Paulson Community Center,16
40754643,2023-05-10,Phillips Community Center,55
40754644,2023-05-09,Warrington Community Center,49
40754645,2023-05-09,West Penn Community Center,133
40754646,2023-05-09,Arlington Community Center,6
40754647,2023-05-09,Ammon Community Center,1
40754648,2023-05-09,Brookline Community Center,33
40754649,2023-05-09,Magee Community Center,18
40754650,2023-05-09,Paulson Community Center,20
40754651,2023-05-09,Ormsby Community Center,11
40754652,2023-05-09,Phillips Community Center,58
40754653,2023-05-08,West Penn Community Center,135
40754654,2023-05-08,Warrington Community Center,53
40754655,2023-05-08,Ammon Community Center,1
40754656,2023-05-08,Arlington Community Center,12
40754657,2023-05-08,Brookline Community Center,37
40754658,2023-05-08,Magee Community Center,15
40754659,2023-05-08,Ormsby Community Center,15
40754660,2023-05-08,Paulson Community Center,17
40754661,2023-05-08,Phillips Community Center,57
40754662,2023-05-06,West Penn Community Center,26
40754663,2023-05-06,Arlington Community Center,116
40754664,2023-05-06,Paulson Community Center,11
40754665,2023-05-06,Ormsby Community Center,4
40754666,2023-05-06,Phillips Community Center,6
40754667,2023-05-05,West Penn Community Center,50
40754668,2023-05-05,Warrington Community Center,47
40754669,2023-05-05,Arlington Community Center,3
40754670,2023-05-05,Ammon Community Center,6
40754671,2023-05-05,Brookline Community Center,33
40754672,2023-05-05,Magee Community Center,13
40754673,2023-05-05,Ormsby Community Center,4
40754674,2023-05-05,Paulson Community Center,24
40754675,2023-05-05,Phillips Community Center,49
40754676,2023-05-04,Warrington Community Center,33
40754677,2023-05-04,West Penn Community Center,120
40754678,2023-05-04,Ammon Community Center,3
40754679,2023-05-04,Arlington Community Center,19
40754680,2023-05-04,Brookline Community Center,41
40754681,2023-05-04,Magee Community Center,23
40754682,2023-05-04,Paulson Community Center,11
40754683,2023-05-04,Ormsby Community Center,18
40754684,2023-05-04,Phillips Community Center,68
40754685,2023-05-03,West Penn Community Center,69
40754686,2023-05-03,Warrington Community Center,50
40754687,2023-05-03,Arlington Community Center,53
40754688,2023-05-03,Brookline Community Center,34
40754689,2023-05-03,Magee Community Center,13
40754690,2023-05-03,Ormsby Community Center,9
40754691,2023-05-03,Paulson Community Center,14
40754692,2023-05-03,Phillips Community Center,47
40754693,2023-05-02,Warrington Community Center,23
40754694,2023-05-02,West Penn Community Center,194
40754695,2023-05-02,Arlington Community Center,21
40754696,2023-05-02,Ammon Community Center,3
40754697,2023-05-02,Brookline Community Center,43
40754698,2023-05-02,Magee Community Center,23
40754699,2023-05-02,Paulson Community Center,13
40754700,2023-05-02,Ormsby Community Center,12
40754701,2023-05-02,Phillips Community Center,60
40754702,2023-05-01,West Penn Community Center,40
40754703,2023-05-01,Warrington Community Center,36
40754704,2023-05-01,Ammon Community Center,2
40754705,2023-05-01,Arlington Community Center,7
40754706,2023-05-01,Brookline Community Center,35
40754707,2023-05-01,Magee Community Center,23
40754708,2023-05-01,Ormsby Community Center,18
40754709,2023-05-01,Paulson Community Center,28
40754710,2023-05-01,Phillips Community Center,59
40754711,2023-04-29,West Penn Community Center,37
40754712,2023-04-29,Ammon Community Center,1
40754713,2023-04-29,Ormsby Community Center,5
40754714,2023-04-29,Phillips Community Center,11
40754715,2023-04-28,West Penn Community Center,43
40754716,2023-04-28,Warrington Community Center,42
40754717,2023-04-28,Ammon Community Center,4
40754718,2023-04-28,Arlington Community Center,2
40754719,2023-04-28,Brookline Community Center,38
40754720,2023-04-28,Magee Community Center,20
40754721,2023-04-28,Ormsby Community Center,6
40754722,2023-04-28,Paulson Community Center,23
40754723,2023-04-28,Phillips Community Center,35
40754724,2023-04-27,Warrington Community Center,62
40754725,2023-04-27,West Penn Community Center,101
40754726,2023-04-27,Arlington Community Center,22
40754727,2023-04-27,Ammon Community Center,82
40754728,2023-04-27,Brookline Community Center,37
40754729,2023-04-27,Magee Community Center,7
40754730,2023-04-27,Jefferson Community Center,41
40754731,2023-04-27,Paulson Community Center,20
40754732,2023-04-27,Ormsby Community Center,11
40754733,2023-04-27,Phillips Community Center,47
40754734,2023-04-26,West Penn Community Center,42
40754735,2023-04-26,Warrington Community Center,32
40754736,2023-04-26,Ammon Community Center,25
40754737,2023-04-26,Arlington Community Center,41
40754738,2023-04-26,Brookline Community Center,40
40754739,2023-04-26,Jefferson Community Center,4
40754740,2023-04-26,Magee Community Center,33
40754741,2023-04-26,Ormsby Community Center,9
40754742,2023-04-26,Paulson Community Center,16
40754743,2023-04-26,Phillips Community Center,45
40754744,2023-04-25,Warrington Community Center,24
40754745,2023-04-25,West Penn Community Center,131
40754746,2023-04-25,Arlington Community Center,12
40754747,2023-04-25,Ammon Community Center,3
40754748,2023-04-25,Brookline Community Center,47
40754749,2023-04-25,Magee Community Center,19
40754750,2023-04-25,Jefferson Community Center,26
40754751,2023-04-25,Paulson Community Center,17
40754752,2023-04-25,Ormsby Community Center,13
40754753,2023-04-25,Phillips Community Center,58
40754754,2023-04-24,West Penn Community Center,39
40754755,2023-04-24,Warrington Community Center,44
40754756,2023-04-24,Ammon Community Center,3
40754757,2023-04-24,Arlington Community Center,15
40754758,2023-04-24,Brookline Community Center,37
40754759,2023-04-24,Magee Community Center,29
40754760,2023-04-24,Ormsby Community Center,18
40754761,2023-04-24,Paulson Community Center,19
40754762,2023-04-24,Phillips Community Center,58
40754763,2023-04-22,West Penn Community Center,32
40754764,2023-04-22,Arlington Community Center,115
40754765,2023-04-22,Paulson Community Center,12
40754766,2023-04-22,Ormsby Community Center,7
40754767,2023-04-22,Phillips Community Center,4
40754768,2023-04-21,West Penn Community Center,22
40754769,2023-04-21,Warrington Community Center,33
40754770,2023-04-21,Arlington Community Center,20
40754771,2023-04-21,Ammon Community Center,1
40754772,2023-04-21,Brookline Community Center,37
40754773,2023-04-21,Magee Community Center,9
40754774,2023-04-21,Ormsby Community Center,6
40754775,2023-04-21,Paulson Community Center,18
40754776,2023-04-21,Phillips Community Center,29
40754777,2023-04-20,Warrington Community Center,37
40754778,2023-04-20,West Penn Community Center,99
40754779,2023-04-20,Arlington Community Center,18
40754780,2023-04-20,Brookline Community Center,38
40754781,2023-04-20,Magee Community Center,2
40754782,2023-04-20,Paulson Community Center,14
40754783,2023-04-20,Ormsby Community Center,7
40754784,2023-04-20,Phillips Community Center,50
40754785,2023-04-19,West Penn Community Center,40
40754786,2023-04-19,Warrington Community Center,29
40754787,2023-04-19,Arlington Community Center,49
40754788,2023-04-19,Ammon Community Center,1
40754789,2023-04-19,Brookline Community Center,34
40754790,2023-04-19,Magee Community Center,29
40754791,2023-04-19,Jefferson Community Center,26
40754792,2023-04-19,Ormsby Community Center,13
40754793,2023-04-19,Paulson Community Center,13
40754794,2023-04-19,Phillips Community Center,55
40754795,2023-04-18,Warrington Community Center,49
40754796,2023-04-18,West Penn Community Center,115
40754797,2023-04-18,Ammon Community Center,28
40754798,2023-04-18,Arlington Community Center,21
40754799,2023-04-18,Brookline Community Center,43
40754800,2023-04-18,Magee Community Center,10
40754801,2023-04-18,Paulson Community Center,16
40754802,2023-04-18,Ormsby Community Center,16
40754803,2023-04-18,Phillips Community Center,74
40754804,2023-04-17,West Penn Community Center,59
40754805,2023-04-17,Warrington Community Center,43
40754806,2023-04-17,Arlington Community Center,8
40754807,2023-04-17,Ammon Community Center,1
40754808,2023-04-17,Brookline Community Center,39
40754809,2023-04-17,Magee Community Center,15
40754810,2023-04-17,Ormsby Community Center,18
40754811,2023-04-17,Paulson Community Center,11
40754812,2023-04-17,Phillips Community Center,53
40754813,2023-04-15,West Penn Community Center,23
40754814,2023-04-15,Ammon Community Center,16
40754815,2023-04-15,Paulson Community Center,7
40754816,2023-04-15,Ormsby Community Center,2
40754817,2023-04-15,Phillips Community Center,5
40754818,2023-04-14,West Penn Community Center,72
40754819,2023-04-14,Warrington Community Center,51
40754820,2023-04-14,Ammon Community Center,2
40754821,2023-04-14,Brookline Community Center,34
40754822,2023-04-14,Magee Community Center,11
40754823,2023-04-14,Ormsby Community Center,7
40754824,2023-04-14,Paulson Community Center,13
40754825,2023-04-14,Phillips Community Center,39
40754826,2023-04-13,Warrington Community Center,57
40754827,2023-04-13,West Penn Community Center,99
40754828,2023-04-13,Ammon Community Center,5
40754829,2023-04-13,Arlington Community Center,17
40754830,2023-04-13,Brookline Community Center,40
40754831,2023-04-13,Magee Community Center,3
40754832,2023-04-13,Paulson Community Center,13
40754833,2023-04-13,Ormsby Community Center,3
40754834,2023-04-13,Phillips Community Center,70
40754835,2023-04-12,West Penn Community Center,35
40754836,2023-04-12,Warrington Community Center,23
40754837,2023-04-12,Arlington Community Center,63
40754838,2023-04-12,Brookline Community Center,30
40754839,2023-04-12,Magee Community Center,19
40754840,2023-04-12,Ormsby Community Center,6
40754841,2023-04-12,Paulson Community Center,14
40754842,2023-04-12,Phillips Community Center,43
40754843,2023-04-11,Warrington Community Center,26
40754844,2023-04-11,West Penn Community Center,139
40754845,2023-04-11,Arlington Community Center,22
40754846,2023-04-11,Ammon Community Center,20
40754847,2023-04-11,Brookline Community Center,36
40754848,2023-04-11,Magee Community Center,20
40754849,2023-04-11,Paulson Community Center,16
40754850,2023-04-11,Ormsby Community Center,16
40754851,2023-04-11,Phillips Community Center,64
40754852,2023-04-10,West Penn Community Center,46
40754853,2023-04-10,Warrington Community Center,49
40754854,2023-04-10,Ammon Community Center,15
40754855,2023-04-10,Arlington Community Center,9
40754856,2023-04-10,Brookline Community Center,24
40754857,2023-04-10,Magee Community Center,16
40754858,2023-04-10,Ormsby Community Center,1
40754859,2023-04-10,Paulson Community Center,11
40754860,2023-04-10,Phillips Community Center,75
40754861,2023-04-06,Warrington Community Center,30
40754862,2023-04-06,West Penn Community Center,93
40754863,2023-04-06,Arlington Community Center,12
40754864,2023-04-06,Brookline Community Center,38
40754865,2023-04-06,Magee Community Center,5
